,user,session,feature,param,acc
11,11,20140630,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.9530346989631653
12,11,20140630,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.9501445293426514
13,11,20140630,de_LDS_lr15_0.01,{'lr15:0.01'},0.9501445293426514
14,11,20140630,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.9501445293426514
16,11,20140630,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.9494219422340393
29,11,20140630,de_LDS_lr13_0.007,{'lr13:0.007'},0.9053468108177185
41,11,20140630,de_LDS_lr16_0.03,{'lr16:0.03'},0.8706647157669067
79,11,20140630,de_LDS_lr19_0.09,{'lr19:0.09'},0.7947976589202881
82,11,20140618,de_LDS_lr14_0.009,{'lr14:0.009'},0.7897399067878723
91,11,20140630,de_LDS_lr17_0.05,{'lr17:0.05'},0.7825144529342651
93,11,20140618,de_LDS_lr13_0.007,{'lr13:0.007'},0.7781791687011719
98,11,20140618,de_LDS_lr12_0.005,{'lr12:0.005'},0.7543352842330933
99,11,20140618,de_LDS_lr18_0.07,{'lr18:0.07'},0.7507225275039673
102,11,20140630,de_LDS_lr18_0.07,{'lr18:0.07'},0.7427745461463928
107,11,20140625,de_LDS_lr11_0.003,{'lr11:0.003'},0.7348265647888184
122,11,20140618,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.7088150382041931
123,11,20140618,de_LDS_lr19_0.09,{'lr19:0.09'},0.7044797539710999
127,11,20140625,de_LDS_lr17_0.05,{'lr17:0.05'},0.7015895843505859
128,11,20140618,de_LDS_lr16_0.03,{'lr16:0.03'},0.698699414730072
129,11,20140618,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.698699414730072
132,11,20140618,de_LDS_lr11_0.003,{'lr11:0.003'},0.6813583970069885
134,11,20140618,de_LDS_lr10_0.001,{'lr10:0.001'},0.6712427735328674
135,11,20140618,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.6654624342918396
140,11,20140618,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.6567919254302979
144,11,20140625,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.647398829460144
149,11,20140618,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.6437861323356628
150,11,20140625,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.6437861323356628
151,11,20140625,de_LDS_lr12_0.005,{'lr12:0.005'},0.6430636048316956
157,11,20140625,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.6329479813575745
161,11,20140618,de_LDS_lr15_0.01,{'lr15:0.01'},0.6300578117370605
163,11,20140618,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.6278901696205139
164,11,20140618,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.6271676421165466
166,11,20140625,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.6235548853874207
167,11,20140618,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.6221098303794861
168,11,20140618,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.6206647157669067
170,11,20140625,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.6199421882629395
172,11,20140625,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.6184971332550049
